kigo,pronunciation,season
海猫,うみねこ,夏
海の家,うみのいえ,夏
海の記念日,うみのきねんび,夏
海の日,うみのひ,夏
海開き,うみびらき,夏
海酸漿,うみほおずき,夏
海南風,うみみなみ,夏
梅売,うめうり,夏
梅笠草,うめがさそう,夏
梅焼酎,うめしょうちゅう,夏
梅漬,うめづけ,夏
梅漬ける,うめつける,夏
梅の雨,うめのあめ,夏
梅の実,うめのみ,夏
梅の宮祭,うめのみやまつり,夏
梅鉢草,うめばちそう,夏
梅干,うめぼし,夏
梅干漬,うめぼしづけ,夏
梅干す,うめほす,夏
梅剝,うめむき,夏
梅筵,うめむしろ,夏
梅若葉,うめわかば,夏
浦島草,うらしまそう・うらしまぐさ,夏
裏白うつぎ,うらじろうつぎ,夏
占出山,うらでやま,夏
裏葉草,うらはぐさ,夏
うら若葉,うらわかば,夏
瓜,うり,夏
瓜小屋,うりごや,夏
瓜提灯,うりぢょうちん,夏
瓜漬,うりづけ,夏
瓜苗,うりなえ,夏
瓜膾,うりなます,夏
瓜盗人,うりぬすっと,夏
瓜の花,うりのはな,夏
瓜守,うりばえ,夏
瓜蠅,うりばえ,夏
蠸,うりばえ,夏
瓜畑,うりばたけ,夏
瓜葉虫,うりはむし,夏
瓜番,うりばん,夏
瓜番小屋,うりばんごや,夏
瓜冷す,うりひやす,夏
瓜虫,うりむし,夏
瓜揉,うりもみ,夏
瓜揉む,うりもむ,夏
瓜守,うりもり,夏
瓜類の花,うりるいのはな,夏
漆搔,うるしかき,夏
漆搔く,うるしかく,夏
漆取る,うるしとる,夏
漆の花,うるしのはな,夏
ウルップ草,うるっぷそう,夏
雲海,うんかい,夏
鱏,えい,夏
鱝,えい,夏
栄西忌,えいさいき,夏
絵団扇,えうちわ,夏
絵扇,えおうぎ,夏
絵帷子,えかたびら,夏
疫痢,えきり,夏
絵茣蓙,えござ,夏
えごの花,えごのはな,夏
恵古苔,えごのり,夏
恵心忌,えしんき,夏
絵簾,えすだれ,夏
鮧,えそ,夏
翠菊,えぞぎく,夏
蝦夷菊,えぞぎく,夏
蝦夷塩竈,えぞしおがま,夏
蝦夷蟬,えぞぜみ,夏
蝦夷虫喰,えぞむしくい,夏
枝下す,えだおろす,夏
枝蛙,えだかわず,夏
枝払う,えだはらう,夏
越後上布,えちごじょうふ,夏
越後ちぢみ,えちごちぢみ,夏
越後縮,えちごちぢみ,夏
越前水母,えちぜんくらげ,夏
越橘,えっきつ,夏
暍病,えつびょう,夏
江戸山王祭,えどさんのうまつり,夏
江戸浅間祭,えどせんげんまつり,夏
江戸蓼,えどたで,夏
江戸紫,えどむらさき,夏
江戸黐,えどもち,夏
柄長,えなが,夏
金雀児,えにしだ,夏
金雀花,えにしだ,夏
金雀枝,えにしだ,夏
榎の花,えのきのはな,夏
榎若葉,えのきわかば,夏
江の島掃除波,えのしまのそうじなみ,夏
絵幟,えのぼり,夏
絵日傘,えひがさ,夏
蝦水母,えびくらげ,夏
夷草,えびすぐさ,夏
えぼし魚,えぼしうお,夏
ゑぼし魚,えぼしうお,夏
烏帽子花,えぼしばな,夏
笑草,えみぐさ,夏
絵筵,えむしろ,夏
衣紋竿,えもんざお,夏
衣紋竹,えもんだけ,夏
涎衣草,えんいそう,夏
遠泳,えんえい,夏
閻王,えんおう,夏
炎夏,えんか,夏
沿階草,えんかいそう,夏
炎気,えんき,夏
猿猴草,えんこうそう,夏
円座,えんざ,夏
円座虫,えんざむし,夏
炎日,えんじつ,夏
槐の花,えんじゅのはな,夏
炎暑,えんしょ,夏
縁涼み,えんすずみ,夏
炎節,えんせつ,夏
炎昼,えんちゅう,夏
炎帝,えんてい,夏
炎天,えんてん,夏
炎天下,えんてんか,夏
豌豆,えんどう,夏
豌豆引,えんどうひき,夏
豌豆引く,えんどうひく,夏
炎熱,えんねつ,夏
役行者山,えんのぎょうじゃやま,夏
燕麦,えんばく,夏
炎風,えんぷう,夏
