kigo,pronunciation,season
献盃,けんぱい,新年
剛卯杖,ごううじょう,新年
高巾子,こうごし,新年
視告朔,こうさく,新年
柑子,こうじ,新年
甘子,こうじ,新年
柑子飾る,こうじかざる,新年
講書始,こうしょはじめ,新年
庚申待,こうしんまち,新年
高台寺方丈懺法,こうだいじほうじょうせんぽう,新年
香灯籠,こうどうろう,新年
香灯籠,こうどうろう,新年
興福寺心経会,こうふくじしんきょうえ,新年
蝙蝠凧,こうもりだこ,新年
肥背負,こえしょい,新年
肥曳き初,こえひきぞめ,新年
肥曳初,こえひきぞめ,新年
御会始,ごかいはじめ,新年
五角凧,ごかくだこ,新年
こがね草,こがねぐさ,新年
御歓楽,ごかんらく,新年
胡鬼板,こきいた,新年
漕初,こぎぞめ,新年
胡鬼の子,こぎのこ,新年
五形,ごぎょう,新年
御形,ごぎょう,新年
国分寺の初市,こくぶんじのはついち,新年
心竹,こころだけ,新年
御斎会,ごさいえ,新年
御斎会内論義,ごさいえのないろんぎ,新年
乞食正月,こじきしょうがつ,新年
後七日の御修法,ごしちにちのみしほ,新年
小正月,こしょうがつ,新年
御神火まつり,ごじんかまつり,新年
五辛盤,ごしんばん,新年
御前えんぶり,ごぜんえんぶり,新年
去年,こぞ・きょねん,新年
去年今年,こぞことし,新年
小袖凧,こそでだこ,新年
五大尊舞,ごだいそんまい,新年
小朝拝,こちょうばい,新年
木造始,こづくりはじめ,新年
小年,こどし,新年
今年,ことし・こんねん,新年
小年越,こどしこし,新年
小年夜,こどしよ,新年
小殿原,ことのばら,新年
事始,ことはじめ,新年
琴始,ことはじめ,新年
言触,ことぶれ,新年
糝祝ふ,こながきいわう,新年
小鰭の粟漬,こはだのあわづけ,新年
御印文戴き,ごはんいただき,新年
御判戴き,ごはんいただき,新年
小判売,こばんうり,新年
御判行事,ごはんぎょうじ,新年
御判初,ごはんはじめ,新年
御福の湯,ごふくのゆ,新年
牛蒡注連,ごぼうじめ,新年
独楽,こま,新年
小松引,こまつひき,新年
駒舞,こままい,新年
五万米,ごまめ,新年
御万歳,ごまんざい,新年
米花,こめばな,新年
蚕屋払,こやばらい,新年
御用始,ごようはじめ,新年
暦開き,こよみびらき,新年
こり初,こりぞめ,新年
御連歌始,ごれんがはじめ,新年
衣榧,ころもがや,新年
権現様,ごんげんさま,新年
権現舞,ごんげんまい,新年
ごんごん独楽,ごんごんごま,新年
昆布,こんぶ,新年
昆布飾る,こんぶかざる,新年
細工始,さいくはじめ,新年
歳始,さいし,新年
歳首,さいしゅ,新年
歳初,さいしょ,新年
才蔵,さいぞう,新年
西大寺大茶盛,さいだいじおおちゃもり,新年
西大寺参,さいだいじまいり,新年
歳旦,さいたん,新年
歳旦歌,さいたんか,新年
歳旦句,さいたんく,新年
歳旦祭,さいたんさい,新年
歳旦帳,さいたんちょう,新年
歳旦開,さいたんびらき,新年
歳旦三物,さいたんみつもの,新年
祭堂,ざいどう,新年
柴灯焼,さいとうやき,新年
さいと小屋,さいとごや,新年
寒灯焼,さいとやき,新年
さいと焼き,さいとやき,新年
斎日,さいにち,新年
幸の神の勧進,さいのかみのかんじん,新年
幸の神祭,さいのかみまつり,新年
塞の神祭,さいのかみまつり,新年
采配,さいはい,新年
菜盤,さいばん,新年
才麿忌,さいまろき,新年
幸籠,さいわいかご,新年
幸木,さいわいぎ・さいぎ,新年
嵯峨釈迦開帳,さがのしゃかかいちょう,新年
坂部の冬祭,さかんべのふゆまつり,新年
三木張,さぎちょう,新年
三毬杖,さぎちょう,新年
三鞠打,さぎちょう,新年
左義長,さぎちょう,新年
左義長踊,さぎちょうおどり,新年
さぎつ長,さぎっちょう,新年
朔旦,さくたん,新年
佐竹の人飾,さたけのひとかざり,新年
皐月祝,さつきいわい,新年
砂糖榧,さとうがや,新年
座頭暦,ざとうごよみ,新年
里下り,さとさがり・さとおり,新年
実朝忌,さねともき,新年
捌初,さばきぞめ,新年
早緑月,さみどりづき,新年
猿引,さるひき,新年
猿曳,さるひき,新年
猿舞師,さるまいし,新年
猿廻し,さるまわし,新年
参賀,さんが,新年
参賀,さんが,新年
三ガ日,さんがにち,新年
三ケ日,さんがにち,新年
算木牛蒡,さんぎごぼう,新年
算木茶菓,さんぎちゃか,新年
三毬杖,さんぎちょう・さぎちょう,新年
三元,さんげん,新年
三石昆布,さんごくこんぶ,新年
三始,さんし,新年
三十三間堂の楊枝浄水加持,さんじゅうさんげんどうのようじじょうすいかじ,新年
三旦,さんたん,新年
三朝,さんちょう,新年
三の卯,さんのう,新年
山王神事能,さんのうしんじのう,新年
三の富,さんのとみ,新年
三微月,さんびげつ,新年
山門開き,さんもんびらき,新年
三陽月,さんようげつ,新年
試穎,しえい,新年
慈恵大師忌,じえだいしき,新年
紙鳶,しえん,新年
塩数の子,しおかずのこ,新年
潮の水,しおのみず,新年
試簡,しかん,新年
試觚,しこ,新年
試毫,しごう,新年
仕事始,しごとはじめ,新年
獅子頭,ししがしら,新年
獅子頭の神事,ししがしらのしんじ,新年
獅子舞,ししまい,新年
仁寿殿観音供,じじゅでんのかんのんく,新年
試春,ししゅん,新年
慈照院殿忌,じしょういんでんき,新年
紫蘇粥,しそがゆ,新年
しそ飯,しそめし,新年
歯朶,しだ,新年
歯朶飾る,しだかざる,新年
字凧,じだこ,新年
七高山詣,しちこうざんまいり,新年
七福神詣,しちふくじんまいり,新年
七福詣,しちふくまいり,新年
七曜御暦奏,しちようごりゃくのそう・しちようのごりゃくのそう,新年
呢月,じつげつ,新年
四天王寺修正会,してんのうじしゅじょうえ,新年
芝居仕初,しばいしぞめ,新年
芝明神祭,しばみょうじんまつり,新年
試筆,しひつ,新年
四方拝,しほうはい,新年
仕舞初,しまいぞめ,新年
仕舞始,しまいはじめ,新年
島原の初寄り,しまばらのはつより,新年
事務始,じむはじめ,新年
注連明,しめあけ,新年
注連飾,しめかざり,新年
注連飾取る,しめかざりとる,新年
注連取る,しめとる,新年
注連縄,しめなわ,新年
七五三縄,しめなわ,新年
注連の内,しめのうち,新年
注連張神事,しめはりしんじ,新年
注連曳,しめひき,新年
注連貰,しめもらい,新年
試免,しめん,新年
尺次郎,しゃくじろう,新年
尺太郎,しゃくたろう,新年
射礼,じゃらい,新年
舎利出し,しゃりだし,新年
十王詣,じゅうおうまいり,新年
十五日粥,じゅうごにちがゆ,新年
十五日正月,じゅうごにちしょうがつ,新年
